First Name,Last Name,University,Categories,Headline,Keywords,Profile Link,
Mark,Tuszynski,"University of California, San Diego",Treatment,Treating Untreatable Neurological Disorders,"Therapeutics, Spinal cord injury, Alzheimer's disease, ALS, Parkinson's disease, Gene therapy, Stem cells",http://benefunder.org/causes/327/mark-tuszynski,
Carston,Wagner,University of Minnesota,Treatment,Drugs that do Their Job,"Therapeutics, neurological, antiviral, anticancer, pain, addiction, immunotherapy, nanotechnology, PET/CT imaging, MRI",http://benefunder.org/causes/369/carston-wagner,
Lauren A.,Weiss,"University Of California, San Francisco",Treatment,Unraveling the Genetics of Autism,"Therapeutics, autism, genetics, psychiatric genetics, behavioral genetics, sex differences, epistasis, gene-environment interaction, induced pluripotent stem cells, RASopathies, neurofibromatosis, Noonan syndrome, Costello syndrome, cardio-facio-cutaneous syndrome",http://benefunder.org/causes/342/lauren-weiss,
Bruce E.,Wexler,Yale University,Treatment,Video Games: an Effective Psychiatric Treatment,"Therapeutics, ADD, mobile game, health IT, brain-training, education technology, non-pharmacologic treatments, neuroplasticity, Social Media, twitter handles, blog, LinkedIn",http://benefunder.org/causes/394/bruce-e-wexler,
Center for Autism Research and Translation,,"University of California, Irvine",Treatment,Curing Autism,"Therapeutics, autism, ion channel diseases, complex neurogenetic diseases, drug discovery platform, signaling diseases",http://benefunder.org/causes/362/center-autism-research-and-translation-jay-gargus,
Cheryl,Dreyfus,Rutgers University,Treatment,Reversing Aging and Disease in the Brain,"oligodendrocytes, astrocytes, glial cells, corpus callosum, cuprizone model of demyelination, EAE model of demyelination, CNS, spinal cord, metabotropic glutamate receptor and agonists",http://benefunder.org/causes/593/cheryl-dreyfus,
Suhayl,Dhib-Jalbut,Rutgers University,Treatment,Vehicles of Drug Delivery and Biomarkers in Multiple Sclerosis,"Multiple Sclerosis, Biomarkers, Immunology of MS",http://benefunder.org/causes/586/suhayl-dhib-jalbut,
Marsha Bates &,Jennifer Buckman,Rutgers University,Addiction,Breaking The Cycle of Addiction,"Alcohol and Drugs, Addiction, Brain, Heart rate variability, Women, Intervention Development",http://benefunder.org/marsha-bates-jennifer-buckman,"mebates@rutgers.edu, jbuckman@rutgers.edu "
Paul,Hutson,University of Wisconsin-Madison,Addiction,Psychedelic Compound with Therapeutic Potential for Psychiatric Illnesses,"anorexia, anorexia nervosa, opioid addiction, detoxification, psilocybin, psychedelic, entheogen",http://benefunder.org/causes/655/paul-hutson,
Jacob,Hooker,Harvard Univeristy (Medical School),Diagnostics,Picking Your Brain at the Molecular Level,"Translational, Neurochemical, Brain, Neuroscience, PET imaging, Dynamic, Cutting-edge, Clinical",http://benefunder.org/jacob-hooker,
Barbara,Bendlin,University of Wisconsin-Madison,Prevention,Preventing Alzheimer’s Disease Before it Develops,"Alzheimer's disease, aging, neuroimaging, prevention, detection, healthy aging, neuroscience, intervention, translational, proteins, biomarkers, diabetes, cardiovascular disease, inflammation, obesity, big data, cognition, dementia, myelin, axons, dendrites MRI, PET, cerebrospinal fluid, collaborative",http://benefunder.org/barbara-b-bendlin,
Birgitt,Schuele,Parkinson's Institute and Clinical Center,Neuroscience,Modeling Parkinson’s Disease in a Petri Dish,"Parkinson's disease, dopaminergic neurons, Parkinson’s disease, parkinsonism, dystonia, neurogenetics, genetics, transcriptional regulation, epigenetics, imprinting, nuclear reprogramming, induced pluripotent stem cells, stem cell pathology, aging, mitochondrial bioenergetics",http://benefunder.org/birgitt-schuele,
Rex,Philpot,University of South Flordia,,Discovering Novel Ways to Treat Impaired Cognitive Function in Cancer Survivors,"Chemobrain, Cognitive Function, Learning, Memory, Cancer, Chemotherapy, Chemotherapy induced cognitive deficits, Quality of life",http://benefunder.org/rex-philpot,
